otu	statistic	p.value	parameter	method	-1	0	1	p.value.adj
Otu0462	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	0.0014188496807588217	0	0	0.14447956555449662
Otu0469	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	0.001261199716230064	0	0	0.14447956555449662
Otu0474	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	9.721747812606742e-4	0	0	0.14447956555449662
Otu0492	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	5.254998817625266e-4	0	0	0.14447956555449662
Otu0496	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	0.0011298247457894321	0	0	0.14447956555449662
Otu0503	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	9.984497753488006e-4	0	0	0.14447956555449662
Otu0538	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	3.15299929057516e-4	0	0	0.14447956555449662
Otu0556	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	5.780498699387792e-4	0	0	0.14447956555449662
Otu0559	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	4.203999054100213e-4	0	0	0.14447956555449662
Otu0580	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	4.466748994981476e-4	0	0	0.14447956555449662
Otu0607	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	4.992248876744003e-4	0	0	0.14447956555449662
Otu0621	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	3.4157492314564226e-4	0	0	0.14447956555449662
Otu0724	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	2.8902493496938965e-4	0	0	0.14447956555449662
Otu0728	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	2.1019995270501064e-4	0	0	0.14447956555449662
Otu0868	6.666666666666663	0.03567399334725246	2	Kruskal-Wallis rank sum test	7.882498226437898e-5	0	0	0.14447956555449662
Otu0869	6.631578947368419	0.03630537512210585	2	Kruskal-Wallis rank sum test	1.0509997635250532e-4	0	0	0.14447956555449662
Otu0896	6.631578947368419	0.03630537512210585	2	Kruskal-Wallis rank sum test	1.0509997635250532e-4	0	0	0.14447956555449662
Otu0030	6.58989310009717	0.03707002638535707	2	Kruskal-Wallis rank sum test	0.015003021624320136	9.196247930844215e-5	0	0.145613197168381
Otu0063	6.482300435118549	0.03911887399614973	2	Kruskal-Wallis rank sum test	7.356998344675372e-4	3.0654159769480714e-5	9.196247930844215e-5	0.15256360858498394
Otu0078	6.291486291486282	0.043034930934800236	2	Kruskal-Wallis rank sum test	2.3647494679313697e-4	9.196247930844216e-5	0	0.16664590276880092
Otu0053	6.064139941690965	0.048215729603304426	2	Kruskal-Wallis rank sum test	0.014740271683438872	0	0.004506161486113666	0.18539287579862126
Otu0161	5.769906323185011	0.05585740574714656	2	Kruskal-Wallis rank sum test	0.002496124438372001	0	4.5981239654221075e-5	0.2132737310345596
Otu0174	5.51931486880466	0.06331345365620267	2	Kruskal-Wallis rank sum test	0.0012349247221419375	0	0.0025289681809821593	0.24006351177976842
Otu0120	5.485388310648524	0.06439661848004498	2	Kruskal-Wallis rank sum test	0.0021808245093144856	0	4.8280301636932134e-4	0.24248657717313488
Otu0057	5.435008305647832	0.06603937309227523	2	Kruskal-Wallis rank sum test	0.0026800493969888857	0	0.007770829501563362	0.24696916238617994
Otu0034	5.382807668521963	0.06778571264031685	2	Kruskal-Wallis rank sum test	0.00916997293675609	0.014805959168659188	0.03149714916314144	0.2500743182541419
Otu0464	5.388157894736857	0.06760462052088101	2	Kruskal-Wallis rank sum test	0	0	6.207467353319845e-4	0.2500743182541419
