otu	statistic	p.value	parameter	method	-1	0	1	p.value.adj
Otu0659	5.263157894736828	0.07196474394172347	2	Kruskal-Wallis rank sum test	6.130831953896143e-5	0	0	0.1483018647945316
Otu0072	5.011641443539002	0.08160859254416317	2	Kruskal-Wallis rank sum test	4.598123965422108e-4	0	4.5981239654221075e-5	0.16576745360533143
Otu0010	4.961329770003243	0.08368756448368095	2	Kruskal-Wallis rank sum test	0.06989148427441604	0.0013137497044063166	0.004736067684384771	0.16867261058726393
Otu0134	4.728460686600216	0.09402163691053925	2	Kruskal-Wallis rank sum test	3.9850407700324936e-4	1.0509997635250532e-4	2.2990619827110538e-5	0.1880432738210785
Otu0035	4.418834626502366	0.10976458825634879	2	Kruskal-Wallis rank sum test	0.0015940163080129972	1.839249586168843e-4	1.839249586168843e-4	0.21785338127214263
Otu0023	4.210526315789484	0.12181361383661926	2	Kruskal-Wallis rank sum test	0	5.254998817625266e-5	0	0.23813187667309027
Otu0579	4.210526315789484	0.12181361383661926	2	Kruskal-Wallis rank sum test	0	5.254998817625266e-5	0	0.23813187667309027
Otu0075	4.073051948051942	0.13048121955573116	2	Kruskal-Wallis rank sum test	0.0027895285390227456	0.012559447174124385	0.005701673717123414	0.2531725155558963
Otu0115	3.900395979287236	0.14224590558216468	2	Kruskal-Wallis rank sum test	1.2261663907792286e-4	2.8902493496938965e-4	0.0018622402059959536	0.27395507741750236
Otu0091	3.7160160575858354	0.15598303482114864	2	Kruskal-Wallis rank sum test	8.583164735454601e-4	5.254998817625266e-5	1.839249586168843e-4	0.2982028606874901
Otu0382	3.412500000000015	0.18154531264317142	2	Kruskal-Wallis rank sum test	0	0	6.897185948133162e-5	0.34453854954178514
Otu0179	3.3683473389355667	0.1855977336823511	2	Kruskal-Wallis rank sum test	1.532707988474036e-4	2.627499408812633e-5	2.2990619827110538e-5	0.3496768895464586
Otu0036	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu0039	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu0045	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu0060	3.1312025685931384	0.20896232962391995	2	Kruskal-Wallis rank sum test	5.211207160811722e-4	0	2.2990619827110538e-5	0.3547202246840415
Otu0063	2.52266081871346	0.2832769014498141	2	Kruskal-Wallis rank sum test	6.130831953896143e-5	0	4.5981239654221075e-5	0.3547202246840415
