otu	statistic	p.value	method	alternative	colonized	not_detectable	p.value.adj
Paraprevotella (OTU 1521)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.49459214835603094
Firmicutes (OTU 1631)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0	0.49459214835603094
Firmicutes (OTU 1645)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.49459214835603094
Clostridiales (OTU 1748)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.49459214835603094
Bacilli (OTU 2017)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0	0.49459214835603094
Bacteroidales (OTU 2569)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.49459214835603094
Lachnospiraceae (OTU 2582)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0	0.49459214835603094
Lactobacillus (OTU 3153)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0	0.49459214835603094
Bacteroides (OTU 3239)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0	0.49459214835603094
Escherichia/Shigella (OTU 3309)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0	0.49459214835603094
Enterobacteriaceae (OTU 3313)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0	0.49459214835603094
Bifidobacterium (OTU 46)	117	0.45533613755808056	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	6.130831953896144e-5	0.5805535753865527
Erysipelotrichaceae (OTU 342)	117	0.4551746091100633	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	4.9046655631169145e-5	0.5805535753865527
Coriobacteriaceae (OTU 379)	117	0.45533613755808056	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	7.356998344675372e-5	0.5805535753865527
Enterobacteriaceae (OTU 62)	117.5	0.47802960966719477	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0.01864999080375207	0.5982701863319493
Bacteroides (OTU 64)	117.5	0.47802960966719477	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	3.678499172337686e-5	0.5982701863319493
Ruminococcaceae (OTU 152)	115	0.4734407294928602	Wilcoxon rank sum test with continuity correction	two.sided	1.1901026734033691e-4	4.2915823677273007e-4	0.5982701863319493
Turicibacter (OTU 14)	110	0.4972666535577404	Wilcoxon rank sum test with continuity correction	two.sided	7.140616040420215e-4	0.0010177181043467599	0.6127957172278761
Bacteroides (OTU 32)	118	0.501037422340499	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	2.4523327815584572e-5	0.6127957172278761
Porphyromonadaceae (OTU 52)	118	0.501037422340499	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	2.4523327815584572e-5	0.6127957172278761
Clostridium (OTU 128)	118	0.5016513959659573	Wilcoxon rank sum test with continuity correction	two.sided	6.49146912765474e-5	1.7166329470909202e-4	0.6127957172278761
Clostridium (OTU 211)	115.5	0.582844605009251	Wilcoxon rank sum test with continuity correction	two.sided	7.57338064893053e-5	1.1035497517013058e-4	0.7077398775112332
Proteus (OTU 16)	138	0.6014564816434969	Wilcoxon rank sum test with continuity correction	two.sided	0.1227645003191639	3.678499172337686e-5	0.7260184748832743
Parasutterella (OTU 26)	139.5	0.608186475983727	Wilcoxon rank sum test with continuity correction	two.sided	0.009261162622120763	0.016540984611611794	0.7298237711804724
Clostridium_sensu (OTU 291)	134.5	0.6273710517642874	Wilcoxon rank sum test with continuity correction	two.sided	3.24573456382737e-5	1.2261663907792286e-5	0.7484426582451148
