key	value	rank	sign
Otu030	0	43	zero
Otu031	0	44	zero
Otu033	0	45	zero
Otu035	0	46	zero
Otu041	0	47	zero
Otu042	0	48	zero
Otu043	0	49	zero
Otu044	0	50	zero
Otu045	0	51	zero
Otu046	0	52	zero
Otu047	0	53	zero
Otu048	0	54	zero
Otu049	0	55	zero
Otu050	0	56	zero
Otu052	0	57	zero
Otu053	0	58	zero
Otu055	0	59	zero
Otu056	0	60	zero
Otu058	0	61	zero
Otu060	0	62	zero
Otu061	0	63	zero
Otu062	0	64	zero
Otu063	0	65	zero
Otu065	0	66	zero
Otu066	0	67	zero
Otu068	0	68	zero
Otu069	0	69	zero
Otu070	0	70	zero
Otu071	0	71	zero
Otu073	0	72	zero
Otu074	0	73	zero
Otu076	0	74	zero
Otu079	0	75	zero
Otu080	0	76	zero
Otu082	0	77	zero
Otu083	0	78	zero
Otu088	0	79	zero
Otu091	0	80	zero
Otu095	0	81	zero
Otu097	0	82	zero
Otu102	0	83	zero
Otu105	0	84	zero
Otu106	0	85	zero
Otu112	0	86	zero
Otu113	0	87	zero
Otu029	0.624930071863618	1	positive
Otu010	0.5055179242882883	2	positive
Otu034	-0.44801806251725224	3	negative
Otu087	-0.4143407472979748	4	negative
Otu008	-0.39847565099425825	5	negative
Otu019	0.3842977876046802	6	positive
Otu013	-0.3619775650379067	7	negative
Otu004	-0.3563259314415829	8	negative
Otu020	-0.3549109026448852	9	negative
Otu066	-0.3293533527131784	10	negative
Otu026	0.30838502351372604	11	positive
Otu009	0.30052646229191576	12	positive
Otu002	-0.29996145151713816	13	negative
Otu075	-0.29493797742688616	14	negative
Otu012	-0.2775879791266888	15	negative
Otu025	-0.2767962347072245	16	negative
Otu014	0.2669752529989379	17	positive
Otu023	-0.2656467197036832	18	negative
Otu015	0.25729324386873453	19	positive
Otu003	0.24885434773064477	20	positive
Otu037	-0.2459296896882731	21	negative
Otu017	-0.2458310154339404	22	negative
Otu041	-0.24471832250848807	23	negative
Otu032	0.2147861927084205	24	positive
Otu038	0.2147861927084205	25	positive
Otu085	-0.20329974000876413	26	negative
Otu011	-0.188182098834923	27	negative
